Instance                  W    H  MaxH Blocks    Moves     c     time
../v3/data/data4-6-34.dat   6  4    6  24          15       3     0
../v3/data/data4-6-35.dat   6  4    6  24          16       3     0
../v3/data/data4-6-36.dat   6  4    6  24          17       3 0.392
../v3/data/data4-6-37.dat   6  4    6  24          15       3  0.06
../v3/data/data4-6-38.dat   6  4    6  24          14       3     0
../v3/data/data4-6-39.dat   6  4    6  24          15       3     0
../v3/data/data4-6-40.dat   6  4    6  24          17       3     0
../v3/data/data4-7-1.dat   7   4   6  28          17       3  0.42
../v3/data/data4-7-2.dat   7   4   6  28          18       3     0
../v3/data/data4-7-3.dat   7   4   6  28          13       3     0
../v3/data/data4-7-4.dat   7   4   6  28          16       3     0
../v3/data/data4-7-5.dat   7   4   6  28          16       3     0
../v3/data/data4-7-6.dat   7   4   6  28          21       3     0
../v3/data/data4-7-7.dat   7   4   6  28          18       3 0.004
../v3/data/data4-7-8.dat   7   4   6  28          16       3 0.004
../v3/data/data4-7-9.dat   7   4   6  28          17       3 0.008
../v3/data/data4-7-10.dat   7  4    6  28          13       3     0
../v3/data/data4-7-11.dat   7  4    6  28          16       3 0.004
../v3/data/data4-7-12.dat   7  4    6  28          16       3 0.008
../v3/data/data4-7-13.dat   7  4    6  28          15       3 0.012
../v3/data/data4-7-14.dat   7  4    6  28          20       3 0.008
../v3/data/data4-7-15.dat   7  4    6  28          15       3     0
../v3/data/data4-7-16.dat   7  4    6  28          12       3     0
../v3/data/data4-7-17.dat   7  4    6  28          10       3 0.024
../v3/data/data4-7-18.dat   7  4    6  28          19       3     0
../v3/data/data4-7-19.dat   7  4    6  28          14       3     0
../v3/data/data4-7-20.dat   7  4    6  28          17       3 0.108
../v3/data/data4-7-21.dat   7  4    6  28          18       3 0.012
../v3/data/data4-7-22.dat   7  4    6  28          17       3     0
../v3/data/data4-7-23.dat   7  4    6  28          11       3     0
../v3/data/data4-7-24.dat   7  4    6  28          16       3     0
../v3/data/data4-7-25.dat   7  4    6  28          16       3  0.02
../v3/data/data4-7-26.dat   7  4    6  28          17       3     0
../v3/data/data4-7-27.dat   7  4    6  28          14       3     0
../v3/data/data4-7-28.dat   7  4    6  28          22       3 0.656
../v3/data/data4-7-29.dat   7  4    6  28          14       3     0
../v3/data/data4-7-30.dat   7  4    6  28          13       3     0
../v3/data/data4-7-31.dat   7  4    6  28          22       3 0.004
../v3/data/data4-7-32.dat   7  4    6  28          19       3     0
../v3/data/data4-7-33.dat   7  4    6  28          18       3 0.028
../v3/data/data4-7-34.dat   7  4    6  28          14       3     0
../v3/data/data4-7-35.dat   7  4    6  28          20       3 0.004
../v3/data/data4-7-36.dat   7  4    6  28          16       3     0
../v3/data/data4-7-37.dat   7  4    6  28          17       3     0
../v3/data/data4-7-38.dat   7  4    6  28          13       3     0
../v3/data/data4-7-39.dat   7  4    6  28          14       3 0.056
../v3/data/data4-7-40.dat   7  4    6  28          15       3 0.024
../v3/data/data5-4-1.dat   4   5   7  20          15       2     0
../v3/data/data5-4-2.dat   4   5   7  20          19       2     0
../v3/data/data5-4-3.dat   4   5   7  20          15       2     0
../v3/data/data5-4-4.dat   4   5   7  20          12       2     0
../v3/data/data5-4-5.dat   4   5   7  20          17       2     0
../v3/data/data5-4-6.dat   4   5   7  20          14       2     0
../v3/data/data5-4-7.dat   4   5   7  20          12       2     0
../v3/data/data5-4-8.dat   4   5   7  20          20       2     0
../v3/data/data5-4-9.dat   4   5   7  20          15       2     0
../v3/data/data5-4-10.dat   4  5    7  20          11       2     0
../v3/data/data5-4-11.dat   4  5    7  20          13       2     0
../v3/data/data5-4-12.dat   4  5    7  20          19       2     0
../v3/data/data5-4-13.dat   4  5    7  20          19       2     0
../v3/data/data5-4-14.dat   4  5    7  20          16       2     0
../v3/data/data5-4-15.dat   4  5    7  20          12       2     0
../v3/data/data5-4-16.dat   4  5    7  20          17       2     0
../v3/data/data5-4-17.dat   4  5    7  20          20       2     0
../v3/data/data5-4-18.dat   4  5    7  20           7       2     0
../v3/data/data5-4-19.dat   4  5    7  20          18       2     0
../v3/data/data5-4-20.dat   4  5    7  20          17       2     0
../v3/data/data5-4-21.dat   4  5    7  20          18       2     0
../v3/data/data5-4-22.dat   4  5    7  20          13       2     0
../v3/data/data5-4-23.dat   4  5    7  20           9       2     0
../v3/data/data5-4-24.dat   4  5    7  20          17       2     0
../v3/data/data5-4-25.dat   4  5    7  20           8       2     0
../v3/data/data5-4-26.dat   4  5    7  20          21       2 0.048
../v3/data/data5-4-27.dat   4  5    7  20          14       2 0.004
../v3/data/data5-4-28.dat   4  5    7  20          18       2 0.004
../v3/data/data5-4-29.dat   4  5    7  20          20       2     0
../v3/data/data5-4-30.dat   4  5    7  20          14       2     0
../v3/data/data5-4-31.dat   4  5    7  20          11       2     0
../v3/data/data5-4-32.dat   4  5    7  20          19       2 0.008
../v3/data/data5-4-33.dat   4  5    7  20          14       2     0
../v3/data/data5-4-34.dat   4  5    7  20          17       2     0
../v3/data/data5-4-35.dat   4  5    7  20          15       2     0
../v3/data/data5-4-36.dat   4  5    7  20          17       2     0
../v3/data/data5-4-37.dat   4  5    7  20          13       2 0.004
../v3/data/data5-4-38.dat   4  5    7  20          19       2 0.008
../v3/data/data5-4-39.dat   4  5    7  20          19       2     0
../v3/data/data5-4-40.dat   4  5    7  20          16       2     0
